MusicTagName,MP4,Vorbis,WMA,ID3v24,ID3v23,APEv2,SplitChars,JoinChars
ReleasedDate,*:ACK_RELEASED_DATE,ACK_RELEASED_DATE,ACK/ReleasedDate,TXXX:ACK_RELEASED_DATE,TXXX:ACK_RELEASED_DATE,ACKReleasedDate,,
WikidataAlbumId,*:ACK_WIKIDATA_ALBUM_ID,ACK_WIKIDATA_ALBUM_ID,ACK/WikidataAlbumId,TXXX:ACK_WIKIDATA_ALBUM_ID,TXXX:ACK_WIKIDATA_ALBUM_ID,ACKWikidataAlbumId,"; /","; "
WikidataArtistId,*:ACK_WIKIDATA_ARTIST_ID,ACK_WIKIDATA_ARTIST_ID,ACK/WikidataArtistId,TXXX:ACK_WIKIDATA_ARTIST_ID,TXXX:ACK_WIKIDATA_ARTIST_ID,ACKWikidataArtistId,"; /","; "
WikipediaAlbumId,*:ACK_WIKIPEDIA_ALBUM_ID,ACK_WIKIPEDIA_ALBUM_ID,ACK/WikipediaAlbumId,TXXX:ACK_WIKIPEDIA_ALBUM_ID,TXXX:ACK_WIKIPEDIA_ALBUM_ID,ACKWikipediaAlbumId,";","; "
WikipediaArtistId,*:ACK_WIKIPEDIA_ARTIST_ID,ACK_WIKIPEDIA_ARTIST_ID,ACK/WikipediaArtistId,TXXX:ACK_WIKIPEDIA_ARTIST_ID,TXXX:ACK_WIKIPEDIA_ARTIST_ID,ACKWikipediaArtistId,";","; "
# junk tags,,,,,,,,
Artists,*:ARTISTS,ARTISTS,WM/ARTISTS,TXXX:ARTISTS,TXXX:ARTISTS,Artists,,
Codec,*:cdec,,,,,,,
Cover,covr,METADATA_BLOCK_PICTURE,WM/Picture,APIC,APIC,Cover Art (Front),,
Description,desc,,,,,,,
EncodedBy,*:encoded by,ENCODED BY,,TENC,TENC,Encoded by,,
Encoder,©too,ENCODER,ENCODER,ENCODER,ENCODER,ENCODER,,
EncodingSettings,*:encoding settings,ENCODER_OPTIONS,,,,,,
FileOwner,*:OWNER|*:FILEOWNER,OWNER|FILEOWNER,,TOWN,TOWN,Owner|FileOwner,,
iTunSMPB,*:iTunSMPB,,,,,,,
OriginalFileName,*:ORIGINALFILENAME|*:ORIGFILENAME,ORIGINALFILENAME|ORIGFILENAME,WM/OriginalFilename,TOFN,TOFN,OriginalFilename|OrigFilename,,
Rating,*:Rating,RATING,Rating,RATING,RATING,RATING,,
RipDate,*:Rip date,,,,,,,
RippingTool,*:Ripping tool,,,,,,,
Source,*:Source,SOURCE,SOURCE,SOURCE,SOURCE,SOURCE,,
